"Kod";"Nazwa";"Grupy osób";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1400000;"MAZOWIECKIE";"ogółem, w końcu roku";"2024";4842;"-";"";
1400000;"MAZOWIECKIE";"ogółem, w ciągu roku";"2015";;"-";"";
1400000;"MAZOWIECKIE";"ogółem, w ciągu roku";"2016";;"-";"";
1400000;"MAZOWIECKIE";"ogółem, w ciągu roku";"2017";;"-";"";
1400000;"MAZOWIECKIE";"ogółem, w ciągu roku";"2018";;"-";"";
1400000;"MAZOWIECKIE";"ogółem, w ciągu roku";"2019";;"-";"";
1400000;"MAZOWIECKIE";"ogółem, w ciągu roku";"2020";150259;"-";"";
1400000;"MAZOWIECKIE";"ogółem, w ciągu roku";"2021";182065;"-";"";
1400000;"MAZOWIECKIE";"ogółem, w ciągu roku";"2022";183029;"-";"";
1400000;"MAZOWIECKIE";"ogółem, w ciągu roku";"2023";198873;"-";"";
1400000;"MAZOWIECKIE";"ogółem, w ciągu roku";"2024";185597;"-";"";
1400000;"MAZOWIECKIE";"niepełnosprawni, w końcu roku";"2015";402;"-";"";
1400000;"MAZOWIECKIE";"niepełnosprawni, w końcu roku";"2016";410;"-";"";
1400000;"MAZOWIECKIE";"niepełnosprawni, w końcu roku";"2017";345;"-";"";
1400000;"MAZOWIECKIE";"niepełnosprawni, w końcu roku";"2018";212;"-";"";
1400000;"MAZOWIECKIE";"niepełnosprawni, w końcu roku";"2019";253;"-";"";
1400000;"MAZOWIECKIE";"niepełnosprawni, w końcu roku";"2020";186;"-";"";
1400000;"MAZOWIECKIE";"niepełnosprawni, w końcu roku";"2021";175;"-";"";
1400000;"MAZOWIECKIE";"niepełnosprawni, w końcu roku";"2022";215;"-";"";
1400000;"MAZOWIECKIE";"niepełnosprawni, w końcu roku";"2023";161;"-";"";
1400000;"MAZOWIECKIE";"niepełnosprawni, w końcu roku";"2024";262;"-";"";
1400000;"MAZOWIECKIE";"niepełnosprawni, w ciągu roku";"2015";;"-";"";
1400000;"MAZOWIECKIE";"niepełnosprawni, w ciągu roku";"2016";;"-";"";
1400000;"MAZOWIECKIE";"niepełnosprawni, w ciągu roku";"2017";;"-";"";
1400000;"MAZOWIECKIE";"niepełnosprawni, w ciągu roku";"2018";;"-";"";
1400000;"MAZOWIECKIE";"niepełnosprawni, w ciągu roku";"2019";;"-";"";
1400000;"MAZOWIECKIE";"niepełnosprawni, w ciągu roku";"2020";3819;"-";"";
1400000;"MAZOWIECKIE";"niepełnosprawni, w ciągu roku";"2021";4369;"-";"";
1400000;"MAZOWIECKIE";"niepełnosprawni, w ciągu roku";"2022";4638;"-";"";
1400000;"MAZOWIECKIE";"niepełnosprawni, w ciągu roku";"2023";4095;"-";"";
1400000;"MAZOWIECKIE";"niepełnosprawni, w ciągu roku";"2024";4431;"-";"";
1400000;"MAZOWIECKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2015";42;"-";"";
1400000;"MAZOWIECKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2016";48;"-";"";
1400000;"MAZOWIECKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2017";49;"-";"";
1400000;"MAZOWIECKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2018";32;"-";"";
1400000;"MAZOWIECKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2019";40;"-";"";
1400000;"MAZOWIECKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2020";30;"-";"";
1400000;"MAZOWIECKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2021";26;"-";"";
1400000;"MAZOWIECKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2022";32;"-";"";
1400000;"MAZOWIECKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2023";25;"-";"";
1400000;"MAZOWIECKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2024";47;"-";"";
3000000;"WIELKOPOLSKIE";"ogółem, w końcu roku";"2015";4366;"-";"";
3000000;"WIELKOPOLSKIE";"ogółem, w końcu roku";"2016";5778;"-";"";
3000000;"WIELKOPOLSKIE";"ogółem, w końcu roku";"2017";4234;"-";"";
3000000;"WIELKOPOLSKIE";"ogółem, w końcu roku";"2018";3900;"-";"";
3000000;"WIELKOPOLSKIE";"ogółem, w końcu roku";"2019";3263;"-";"";
3000000;"WIELKOPOLSKIE";"ogółem, w końcu roku";"2020";3872;"-";"";
3000000;"WIELKOPOLSKIE";"ogółem, w końcu roku";"2021";4955;"-";"";
3000000;"WIELKOPOLSKIE";"ogółem, w końcu roku";"2022";2937;"-";"";
3000000;"WIELKOPOLSKIE";"ogółem, w końcu roku";"2023";2794;"-";"";
3000000;"WIELKOPOLSKIE";"ogółem, w końcu roku";"2024";3039;"-";"";
3000000;"WIELKOPOLSKIE";"ogółem, w ciągu roku";"2015";;"-";"";
3000000;"WIELKOPOLSKIE";"ogółem, w ciągu roku";"2016";;"-";"";
3000000;"WIELKOPOLSKIE";"ogółem, w ciągu roku";"2017";;"-";"";
3000000;"WIELKOPOLSKIE";"ogółem, w ciągu roku";"2018";;"-";"";
3000000;"WIELKOPOLSKIE";"ogółem, w ciągu roku";"2019";;"-";"";
3000000;"WIELKOPOLSKIE";"ogółem, w ciągu roku";"2020";87222;"-";"";
3000000;"WIELKOPOLSKIE";"ogółem, w ciągu roku";"2021";106879;"-";"";
3000000;"WIELKOPOLSKIE";"ogółem, w ciągu roku";"2022";80911;"-";"";
3000000;"WIELKOPOLSKIE";"ogółem, w ciągu roku";"2023";65157;"-";"";
3000000;"WIELKOPOLSKIE";"ogółem, w ciągu roku";"2024";65698;"-";"";
3000000;"WIELKOPOLSKIE";"niepełnosprawni, w końcu roku";"2015";224;"-";"";
3000000;"WIELKOPOLSKIE";"niepełnosprawni, w końcu roku";"2016";394;"-";"";
3000000;"WIELKOPOLSKIE";"niepełnosprawni, w końcu roku";"2017";208;"-";"";
3000000;"WIELKOPOLSKIE";"niepełnosprawni, w końcu roku";"2018";220;"-";"";
3000000;"WIELKOPOLSKIE";"niepełnosprawni, w końcu roku";"2019";137;"-";"";
3000000;"WIELKOPOLSKIE";"niepełnosprawni, w końcu roku";"2020";172;"-";"";
3000000;"WIELKOPOLSKIE";"niepełnosprawni, w końcu roku";"2021";181;"-";"";
3000000;"WIELKOPOLSKIE";"niepełnosprawni, w końcu roku";"2022";154;"-";"";
3000000;"WIELKOPOLSKIE";"niepełnosprawni, w końcu roku";"2023";143;"-";"";
3000000;"WIELKOPOLSKIE";"niepełnosprawni, w końcu roku";"2024";114;"-";"";
3000000;"WIELKOPOLSKIE";"niepełnosprawni, w ciągu roku";"2015";;"-";"";
3000000;"WIELKOPOLSKIE";"niepełnosprawni, w ciągu roku";"2016";;"-";"";
3000000;"WIELKOPOLSKIE";"niepełnosprawni, w ciągu roku";"2017";;"-";"";
3000000;"WIELKOPOLSKIE";"niepełnosprawni, w ciągu roku";"2018";;"-";"";
3000000;"WIELKOPOLSKIE";"niepełnosprawni, w ciągu roku";"2019";;"-";"";
3000000;"WIELKOPOLSKIE";"niepełnosprawni, w ciągu roku";"2020";2168;"-";"";
3000000;"WIELKOPOLSKIE";"niepełnosprawni, w ciągu roku";"2021";2699;"-";"";
3000000;"WIELKOPOLSKIE";"niepełnosprawni, w ciągu roku";"2022";2095;"-";"";
3000000;"WIELKOPOLSKIE";"niepełnosprawni, w ciągu roku";"2023";1721;"-";"";
3000000;"WIELKOPOLSKIE";"niepełnosprawni, w ciągu roku";"2024";1631;"-";"";
3000000;"WIELKOPOLSKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2015";31;"-";"";
3000000;"WIELKOPOLSKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2016";65;"-";"";
3000000;"WIELKOPOLSKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2017";45;"-";"";
3000000;"WIELKOPOLSKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2018";54;"-";"";
3000000;"WIELKOPOLSKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2019";35;"-";"";
3000000;"WIELKOPOLSKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2020";44;"-";"";
3000000;"WIELKOPOLSKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2021";45;"-";"";
3000000;"WIELKOPOLSKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2022";37;"-";"";
3000000;"WIELKOPOLSKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2023";33;"-";"";
3000000;"WIELKOPOLSKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2024";31;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem, w końcu roku";"2015";3252;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem, w końcu roku";"2016";3716;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem, w końcu roku";"2017";3384;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem, w końcu roku";"2018";2971;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem, w końcu roku";"2019";3204;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem, w końcu roku";"2020";2128;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem, w końcu roku";"2021";3642;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem, w końcu roku";"2022";2444;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem, w końcu roku";"2023";2240;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem, w końcu roku";"2024";1868;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem, w ciągu roku";"2015";;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem, w ciągu roku";"2016";;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem, w ciągu roku";"2017";;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem, w ciągu roku";"2018";;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem, w ciągu roku";"2019";;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem, w ciągu roku";"2020";72756;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem, w ciągu roku";"2021";88642;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem, w ciągu roku";"2022";75848;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem, w ciągu roku";"2023";71775;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem, w ciągu roku";"2024";64458;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"niepełnosprawni, w końcu roku";"2015";280;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"niepełnosprawni, w końcu roku";"2016";150;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"niepełnosprawni, w końcu roku";"2017";75;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"niepełnosprawni, w końcu roku";"2018";160;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"niepełnosprawni, w końcu roku";"2019";109;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"niepełnosprawni, w końcu roku";"2020";60;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"niepełnosprawni, w końcu roku";"2021";195;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"niepełnosprawni, w końcu roku";"2022";154;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"niepełnosprawni, w końcu roku";"2023";66;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"niepełnosprawni, w końcu roku";"2024";89;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"niepełnosprawni, w ciągu roku";"2015";;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"niepełnosprawni, w ciągu roku";"2016";;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"niepełnosprawni, w ciągu roku";"2017";;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"niepełnosprawni, w ciągu roku";"2018";;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"niepełnosprawni, w ciągu roku";"2019";;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"niepełnosprawni, w ciągu roku";"2020";1631;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"niepełnosprawni, w ciągu roku";"2021";1697;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"niepełnosprawni, w ciągu roku";"2022";1806;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"niepełnosprawni, w ciągu roku";"2023";1597;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"niepełnosprawni, w ciągu roku";"2024";1334;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2015";71;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2016";44;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2017";27;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2018";64;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2019";46;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2020";27;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2021";84;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2022";67;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2023";28;"-";"";
3200000;"ZACHODNIOPOMORSKIE";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2024";48;"-";"";
