"Kod";"Nazwa";"Okresy";"Typy aktywności i wskaźniki";"Lokalizacje";"Wartość i precyzja";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"w miastach";"wartość liczbowa";"2019";8072;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"w miastach";"wartość liczbowa";"2020";8016;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"w miastach";"wartość liczbowa";"2021";7775;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"w miastach";"wartość liczbowa";"2022";7566;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"w miastach";"wartość liczbowa";"2023";7466;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"w miastach";"wartość liczbowa";"2024";7524;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"na wsi";"wartość liczbowa";"2015";5668;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"na wsi";"wartość liczbowa";"2016";5569;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"na wsi";"wartość liczbowa";"2017";5479;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"na wsi";"wartość liczbowa";"2018";5503;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"na wsi";"wartość liczbowa";"2019";5558;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"na wsi";"wartość liczbowa";"2020";5490;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"na wsi";"wartość liczbowa";"2021";5180;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"na wsi";"wartość liczbowa";"2022";5095;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"na wsi";"wartość liczbowa";"2023";5046;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"na wsi";"wartość liczbowa";"2024";5076;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"ogółem";"wartość liczbowa";"2015";55,0;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"ogółem";"wartość liczbowa";"2016";55,4;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"ogółem";"wartość liczbowa";"2017";55,8;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"ogółem";"wartość liczbowa";"2018";55,6;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"ogółem";"wartość liczbowa";"2019";55,7;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"ogółem";"wartość liczbowa";"2020";56,1;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"ogółem";"wartość liczbowa";"2021";57,7;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"ogółem";"wartość liczbowa";"2022";58,4;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"ogółem";"wartość liczbowa";"2023";58,8;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"ogółem";"wartość liczbowa";"2024";58,5;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"w miastach";"wartość liczbowa";"2015";56,2;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"w miastach";"wartość liczbowa";"2016";56,3;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"w miastach";"wartość liczbowa";"2017";56,5;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"w miastach";"wartość liczbowa";"2018";56,4;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"w miastach";"wartość liczbowa";"2019";56,9;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"w miastach";"wartość liczbowa";"2020";57,3;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"w miastach";"wartość liczbowa";"2021";58,2;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"w miastach";"wartość liczbowa";"2022";59,0;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"w miastach";"wartość liczbowa";"2023";59,3;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"w miastach";"wartość liczbowa";"2024";58,9;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"na wsi";"wartość liczbowa";"2015";53,2;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"na wsi";"wartość liczbowa";"2016";53,9;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"na wsi";"wartość liczbowa";"2017";54,7;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"na wsi";"wartość liczbowa";"2018";54,4;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"na wsi";"wartość liczbowa";"2019";53,8;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"na wsi";"wartość liczbowa";"2020";54,4;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"na wsi";"wartość liczbowa";"2021";56,9;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"na wsi";"wartość liczbowa";"2022";57,5;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"na wsi";"wartość liczbowa";"2023";58,0;"%";"";
0000000;"POLSKA";"1 kwartał";"współczynnik aktywności zawodowej";"na wsi";"wartość liczbowa";"2024";57,9;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"ogółem";"wartość liczbowa";"2015";50,2;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"ogółem";"wartość liczbowa";"2016";51,5;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"ogółem";"wartość liczbowa";"2017";52,7;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"ogółem";"wartość liczbowa";"2018";53,3;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"ogółem";"wartość liczbowa";"2019";53,5;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"ogółem";"wartość liczbowa";"2020";54,4;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"ogółem";"wartość liczbowa";"2021";55,3;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"ogółem";"wartość liczbowa";"2022";56,6;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"ogółem";"wartość liczbowa";"2023";57,1;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"ogółem";"wartość liczbowa";"2024";56,6;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"w miastach";"wartość liczbowa";"2015";51,6;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"w miastach";"wartość liczbowa";"2016";52,7;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"w miastach";"wartość liczbowa";"2017";53,7;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"w miastach";"wartość liczbowa";"2018";54,3;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"w miastach";"wartość liczbowa";"2019";54,9;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"w miastach";"wartość liczbowa";"2020";55,5;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"w miastach";"wartość liczbowa";"2021";55,8;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"w miastach";"wartość liczbowa";"2022";57,2;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"w miastach";"wartość liczbowa";"2023";57,6;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"w miastach";"wartość liczbowa";"2024";57,1;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"na wsi";"wartość liczbowa";"2015";47,9;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"na wsi";"wartość liczbowa";"2016";49,6;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"na wsi";"wartość liczbowa";"2017";51,3;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"na wsi";"wartość liczbowa";"2018";51,7;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"na wsi";"wartość liczbowa";"2019";51,5;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"na wsi";"wartość liczbowa";"2020";52,6;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"na wsi";"wartość liczbowa";"2021";54,6;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"na wsi";"wartość liczbowa";"2022";55,7;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"na wsi";"wartość liczbowa";"2023";56,2;"%";"";
0000000;"POLSKA";"1 kwartał";"wskaźnik zatrudnienia";"na wsi";"wartość liczbowa";"2024";55,9;"%";"";
0000000;"POLSKA";"1 kwartał";"stopa bezrobocia";"ogółem";"wartość liczbowa";"2015";8,8;"%";"";
0000000;"POLSKA";"1 kwartał";"stopa bezrobocia";"ogółem";"wartość liczbowa";"2016";7,1;"%";"";
0000000;"POLSKA";"1 kwartał";"stopa bezrobocia";"ogółem";"wartość liczbowa";"2017";5,5;"%";"";
0000000;"POLSKA";"1 kwartał";"stopa bezrobocia";"ogółem";"wartość liczbowa";"2018";4,2;"%";"";
0000000;"POLSKA";"1 kwartał";"stopa bezrobocia";"ogółem";"wartość liczbowa";"2019";3,9;"%";"";
0000000;"POLSKA";"1 kwartał";"stopa bezrobocia";"ogółem";"wartość liczbowa";"2020";3,1;"%";"";
0000000;"POLSKA";"1 kwartał";"stopa bezrobocia";"ogółem";"wartość liczbowa";"2021";4,0;"%";"";
0000000;"POLSKA";"1 kwartał";"stopa bezrobocia";"ogółem";"wartość liczbowa";"2022";3,1;"%";"";
0000000;"POLSKA";"1 kwartał";"stopa bezrobocia";"ogółem";"wartość liczbowa";"2023";2,9;"%";"";
0000000;"POLSKA";"1 kwartał";"stopa bezrobocia";"ogółem";"wartość liczbowa";"2024";3,1;"%";"";
0000000;"POLSKA";"1 kwartał";"stopa bezrobocia";"w miastach";"wartość liczbowa";"2015";8,2;"%";"";
