"Kod";"Nazwa";"Grupy wieku";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1400000;"MAZOWIECKIE";"25-34";"2022";23,6;"%";"";
1400000;"MAZOWIECKIE";"25-34";"2023";23,1;"%";"";
1400000;"MAZOWIECKIE";"25-34";"2024";22,5;"%";"";
1400000;"MAZOWIECKIE";"35-44";"2015";22,2;"%";"";
1400000;"MAZOWIECKIE";"35-44";"2016";23,1;"%";"";
1400000;"MAZOWIECKIE";"35-44";"2017";24,1;"%";"";
1400000;"MAZOWIECKIE";"35-44";"2018";24,7;"%";"";
1400000;"MAZOWIECKIE";"35-44";"2019";25,2;"%";"";
1400000;"MAZOWIECKIE";"35-44";"2020";25,8;"%";"";
1400000;"MAZOWIECKIE";"35-44";"2021";26,6;"%";"";
1400000;"MAZOWIECKIE";"35-44";"2022";26,2;"%";"";
1400000;"MAZOWIECKIE";"35-44";"2023";26,3;"%";"";
1400000;"MAZOWIECKIE";"35-44";"2024";26,0;"%";"";
3000000;"WIELKOPOLSKIE";"24 lata i mniej";"2015";16,7;"%";"";
3000000;"WIELKOPOLSKIE";"24 lata i mniej";"2016";14,6;"%";"";
3000000;"WIELKOPOLSKIE";"24 lata i mniej";"2017";14,1;"%";"";
3000000;"WIELKOPOLSKIE";"24 lata i mniej";"2018";13,5;"%";"";
3000000;"WIELKOPOLSKIE";"24 lata i mniej";"2019";13,8;"%";"";
3000000;"WIELKOPOLSKIE";"24 lata i mniej";"2020";13,7;"%";"";
3000000;"WIELKOPOLSKIE";"24 lata i mniej";"2021";12,5;"%";"";
3000000;"WIELKOPOLSKIE";"24 lata i mniej";"2022";15,1;"%";"";
3000000;"WIELKOPOLSKIE";"24 lata i mniej";"2023";15,4;"%";"";
3000000;"WIELKOPOLSKIE";"24 lata i mniej";"2024";15,5;"%";"";
3000000;"WIELKOPOLSKIE";"25-34";"2015";28,3;"%";"";
3000000;"WIELKOPOLSKIE";"25-34";"2016";28,9;"%";"";
3000000;"WIELKOPOLSKIE";"25-34";"2017";29,0;"%";"";
3000000;"WIELKOPOLSKIE";"25-34";"2018";29,0;"%";"";
3000000;"WIELKOPOLSKIE";"25-34";"2019";28,4;"%";"";
3000000;"WIELKOPOLSKIE";"25-34";"2020";27,9;"%";"";
3000000;"WIELKOPOLSKIE";"25-34";"2021";26,5;"%";"";
3000000;"WIELKOPOLSKIE";"25-34";"2022";24,4;"%";"";
3000000;"WIELKOPOLSKIE";"25-34";"2023";23,9;"%";"";
3000000;"WIELKOPOLSKIE";"25-34";"2024";22,8;"%";"";
3000000;"WIELKOPOLSKIE";"35-44";"2015";20,6;"%";"";
3000000;"WIELKOPOLSKIE";"35-44";"2016";21,5;"%";"";
3000000;"WIELKOPOLSKIE";"35-44";"2017";22,6;"%";"";
3000000;"WIELKOPOLSKIE";"35-44";"2018";23,5;"%";"";
3000000;"WIELKOPOLSKIE";"35-44";"2019";23,4;"%";"";
3000000;"WIELKOPOLSKIE";"35-44";"2020";24,6;"%";"";
3000000;"WIELKOPOLSKIE";"35-44";"2021";25,5;"%";"";
3000000;"WIELKOPOLSKIE";"35-44";"2022";24,7;"%";"";
3000000;"WIELKOPOLSKIE";"35-44";"2023";24,9;"%";"";
3000000;"WIELKOPOLSKIE";"35-44";"2024";24,8;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"24 lata i mniej";"2015";13,1;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"24 lata i mniej";"2016";11,9;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"24 lata i mniej";"2017";11,2;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"24 lata i mniej";"2018";11,1;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"24 lata i mniej";"2019";10,9;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"24 lata i mniej";"2020";11,3;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"24 lata i mniej";"2021";9,5;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"24 lata i mniej";"2022";10,2;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"24 lata i mniej";"2023";11,2;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"24 lata i mniej";"2024";10,9;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"25-34";"2015";25,9;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"25-34";"2016";26,1;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"25-34";"2017";26,2;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"25-34";"2018";26,9;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"25-34";"2019";26,3;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"25-34";"2020";25,9;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"25-34";"2021";24,7;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"25-34";"2022";23,3;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"25-34";"2023";22,5;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"25-34";"2024";21,8;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"35-44";"2015";21,0;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"35-44";"2016";21,7;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"35-44";"2017";22,7;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"35-44";"2018";23,1;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"35-44";"2019";23,6;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"35-44";"2020";25,1;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"35-44";"2021";25,8;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"35-44";"2022";26,0;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"35-44";"2023";25,8;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"35-44";"2024";26,3;"%";"";
