"Kod";"Nazwa";"Okresy";"Płeć";"Czas pracy";"Sekcje wg PKD";"Wartość i precyzja";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"usługi";"wartość liczbowa";"2019";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"usługi";"wartość liczbowa";"2020";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"usługi";"wartość liczbowa";"2021";10106;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"usługi";"wartość liczbowa";"2022";10389;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"usługi";"wartość liczbowa";"2023";10754;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"usługi";"wartość liczbowa";"2024";10791;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"ogółem";"wartość liczbowa";"2015";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"ogółem";"wartość liczbowa";"2016";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"ogółem";"wartość liczbowa";"2017";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"ogółem";"wartość liczbowa";"2018";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"ogółem";"wartość liczbowa";"2019";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"ogółem";"wartość liczbowa";"2020";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"ogółem";"wartość liczbowa";"2021";15813;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"ogółem";"wartość liczbowa";"2022";16123;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"ogółem";"wartość liczbowa";"2023";16139;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"ogółem";"wartość liczbowa";"2024";16053;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2015";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2016";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2017";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2018";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2019";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2020";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2021";1218;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2022";1182;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2023";1112;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2024";1004;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2015";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2016";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2017";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2018";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2019";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2020";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2021";5154;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2022";5230;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2023";5026;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2024";4985;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"usługi";"wartość liczbowa";"2015";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"usługi";"wartość liczbowa";"2016";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"usługi";"wartość liczbowa";"2017";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"usługi";"wartość liczbowa";"2018";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"usługi";"wartość liczbowa";"2019";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"usługi";"wartość liczbowa";"2020";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"usługi";"wartość liczbowa";"2021";9340;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"usługi";"wartość liczbowa";"2022";9637;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"usługi";"wartość liczbowa";"2023";9893;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"pełny wymiar";"usługi";"wartość liczbowa";"2024";9953;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"ogółem";"wartość liczbowa";"2015";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"ogółem";"wartość liczbowa";"2016";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"ogółem";"wartość liczbowa";"2017";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"ogółem";"wartość liczbowa";"2018";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"ogółem";"wartość liczbowa";"2019";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"ogółem";"wartość liczbowa";"2020";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"ogółem";"wartość liczbowa";"2021";1115;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"ogółem";"wartość liczbowa";"2022";1099;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"ogółem";"wartość liczbowa";"2023";1194;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"ogółem";"wartość liczbowa";"2024";1141;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2015";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2016";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2017";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2018";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2019";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2020";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2021";208;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2022";183;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2023";169;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2024";164;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2015";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2016";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2017";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2018";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2019";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2020";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2021";134;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2022";162;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2023";153;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2024";127;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"usługi";"wartość liczbowa";"2015";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"usługi";"wartość liczbowa";"2016";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"usługi";"wartość liczbowa";"2017";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"usługi";"wartość liczbowa";"2018";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"usługi";"wartość liczbowa";"2019";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"usługi";"wartość liczbowa";"2020";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"usługi";"wartość liczbowa";"2021";766;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"usługi";"wartość liczbowa";"2022";751;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"usługi";"wartość liczbowa";"2023";861;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"niepełny wymiar";"usługi";"wartość liczbowa";"2024";838;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"ogółem";"wartość liczbowa";"2015";8477;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"ogółem";"wartość liczbowa";"2016";8619;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"ogółem";"wartość liczbowa";"2017";8799;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"ogółem";"wartość liczbowa";"2018";8861;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"ogółem";"wartość liczbowa";"2019";9097;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"ogółem";"wartość liczbowa";"2020";9235;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"ogółem";"wartość liczbowa";"2021";9316;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"ogółem";"wartość liczbowa";"2022";9410;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"ogółem";"wartość liczbowa";"2023";9415;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"ogółem";"wartość liczbowa";"2024";9302;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2015";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2016";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2017";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2018";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2019";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2020";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2021";908;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2022";842;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2023";815;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2024";767;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"przemysł i budownictwo";"wartość liczbowa";"2015";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"przemysł i budownictwo";"wartość liczbowa";"2016";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"przemysł i budownictwo";"wartość liczbowa";"2017";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"przemysł i budownictwo";"wartość liczbowa";"2018";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"przemysł i budownictwo";"wartość liczbowa";"2019";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"przemysł i budownictwo";"wartość liczbowa";"2020";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"przemysł i budownictwo";"wartość liczbowa";"2021";3984;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"przemysł i budownictwo";"wartość liczbowa";"2022";4081;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"przemysł i budownictwo";"wartość liczbowa";"2023";3911;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"przemysł i budownictwo";"wartość liczbowa";"2024";3799;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"usługi";"wartość liczbowa";"2015";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"usługi";"wartość liczbowa";"2016";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"usługi";"wartość liczbowa";"2017";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"usługi";"wartość liczbowa";"2018";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"usługi";"wartość liczbowa";"2019";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"usługi";"wartość liczbowa";"2020";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"usługi";"wartość liczbowa";"2021";4363;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"usługi";"wartość liczbowa";"2022";4439;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"usługi";"wartość liczbowa";"2023";4612;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"usługi";"wartość liczbowa";"2024";4662;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"ogółem";"wartość liczbowa";"2015";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"ogółem";"wartość liczbowa";"2016";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"ogółem";"wartość liczbowa";"2017";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"ogółem";"wartość liczbowa";"2018";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"ogółem";"wartość liczbowa";"2019";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"ogółem";"wartość liczbowa";"2020";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"ogółem";"wartość liczbowa";"2021";8909;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"ogółem";"wartość liczbowa";"2022";8996;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"ogółem";"wartość liczbowa";"2023";8972;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"ogółem";"wartość liczbowa";"2024";8887;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2015";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2016";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2017";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2018";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2019";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2020";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2021";820;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2022";772;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2023";747;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2024";687;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2015";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2016";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2017";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2018";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2019";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2020";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2021";3900;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2022";3975;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2023";3816;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"pełny wymiar";"przemysł i budownictwo";"wartość liczbowa";"2024";3726;"tys. osób";"";
