"Kod";"Nazwa";"Okresy";"Wykształcenie";"Wartość i precyzja";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"1 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2022";55,0;"%";"";
0000000;"POLSKA";"1 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2023";56,2;"%";"";
0000000;"POLSKA";"1 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2024";58,3;"%";"";
0000000;"POLSKA";"1 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2015";57,8;"%";"";
0000000;"POLSKA";"1 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2016";56,4;"%";"";
0000000;"POLSKA";"1 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2017";56,1;"%";"";
0000000;"POLSKA";"1 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2018";54,8;"%";"";
0000000;"POLSKA";"1 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2019";53,2;"%";"";
0000000;"POLSKA";"1 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2020";53,3;"%";"";
0000000;"POLSKA";"1 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2021";55,2;"%";"";
0000000;"POLSKA";"1 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2022";56,0;"%";"";
0000000;"POLSKA";"1 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2023";55,0;"%";"";
0000000;"POLSKA";"1 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2024";52,2;"%";"";
0000000;"POLSKA";"1 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2015";16,5;"%";"";
0000000;"POLSKA";"1 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2016";15,9;"%";"";
0000000;"POLSKA";"1 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2017";15,7;"%";"";
0000000;"POLSKA";"1 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2018";15,7;"%";"";
0000000;"POLSKA";"1 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2019";15,7;"%";"";
0000000;"POLSKA";"1 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2020";15,8;"%";"";
0000000;"POLSKA";"1 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2021";17,1;"%";"";
0000000;"POLSKA";"1 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2022";18,1;"%";"";
0000000;"POLSKA";"1 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2023";17,0;"%";"";
0000000;"POLSKA";"1 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2024";15,8;"%";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"wartość liczbowa";"2015";54,9;"%";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"wartość liczbowa";"2016";55,6;"%";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"wartość liczbowa";"2017";56,2;"%";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"wartość liczbowa";"2018";56,2;"%";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"wartość liczbowa";"2019";56,3;"%";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"wartość liczbowa";"2020";55,6;"%";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"wartość liczbowa";"2021";58,0;"%";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"wartość liczbowa";"2022";58,4;"%";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"wartość liczbowa";"2023";58,5;"%";"";
0000000;"POLSKA";"2 kwartał";"ogółem";"wartość liczbowa";"2024";58,3;"%";"";
0000000;"POLSKA";"2 kwartał";"wyższe";"wartość liczbowa";"2015";80,4;"%";"";
0000000;"POLSKA";"2 kwartał";"wyższe";"wartość liczbowa";"2016";81,0;"%";"";
0000000;"POLSKA";"2 kwartał";"wyższe";"wartość liczbowa";"2017";80,5;"%";"";
0000000;"POLSKA";"2 kwartał";"wyższe";"wartość liczbowa";"2018";80,7;"%";"";
0000000;"POLSKA";"2 kwartał";"wyższe";"wartość liczbowa";"2019";80,9;"%";"";
0000000;"POLSKA";"2 kwartał";"wyższe";"wartość liczbowa";"2020";80,1;"%";"";
0000000;"POLSKA";"2 kwartał";"wyższe";"wartość liczbowa";"2021";82,1;"%";"";
0000000;"POLSKA";"2 kwartał";"wyższe";"wartość liczbowa";"2022";81,9;"%";"";
0000000;"POLSKA";"2 kwartał";"wyższe";"wartość liczbowa";"2023";81,7;"%";"";
0000000;"POLSKA";"2 kwartał";"wyższe";"wartość liczbowa";"2024";82,1;"%";"";
0000000;"POLSKA";"2 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2015";63,3;"%";"";
0000000;"POLSKA";"2 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2016";64,0;"%";"";
0000000;"POLSKA";"2 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2017";63,8;"%";"";
0000000;"POLSKA";"2 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2018";62,3;"%";"";
0000000;"POLSKA";"2 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2019";61,4;"%";"";
0000000;"POLSKA";"2 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2020";59,7;"%";"";
0000000;"POLSKA";"2 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2021";61,9;"%";"";
0000000;"POLSKA";"2 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2022";62,3;"%";"";
0000000;"POLSKA";"2 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2023";60,5;"%";"";
0000000;"POLSKA";"2 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2024";59,6;"%";"";
0000000;"POLSKA";"2 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2015";48,7;"%";"";
0000000;"POLSKA";"2 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2016";49,4;"%";"";
0000000;"POLSKA";"2 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2017";51,4;"%";"";
0000000;"POLSKA";"2 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2018";51,9;"%";"";
0000000;"POLSKA";"2 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2019";52,7;"%";"";
0000000;"POLSKA";"2 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2020";51,7;"%";"";
0000000;"POLSKA";"2 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2021";53,3;"%";"";
0000000;"POLSKA";"2 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2022";55,0;"%";"";
0000000;"POLSKA";"2 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2023";54,9;"%";"";
0000000;"POLSKA";"2 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2024";55,1;"%";"";
0000000;"POLSKA";"2 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2015";57,0;"%";"";
0000000;"POLSKA";"2 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2016";56,9;"%";"";
0000000;"POLSKA";"2 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2017";56,9;"%";"";
0000000;"POLSKA";"2 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2018";55,5;"%";"";
0000000;"POLSKA";"2 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2019";54,0;"%";"";
0000000;"POLSKA";"2 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2020";53,0;"%";"";
0000000;"POLSKA";"2 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2021";55,4;"%";"";
0000000;"POLSKA";"2 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2022";55,6;"%";"";
0000000;"POLSKA";"2 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2023";54,1;"%";"";
0000000;"POLSKA";"2 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2024";52,2;"%";"";
0000000;"POLSKA";"2 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2015";16,4;"%";"";
0000000;"POLSKA";"2 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2016";16,2;"%";"";
0000000;"POLSKA";"2 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2017";16,3;"%";"";
0000000;"POLSKA";"2 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2018";16,1;"%";"";
0000000;"POLSKA";"2 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2019";16,8;"%";"";
0000000;"POLSKA";"2 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2020";15,9;"%";"";
0000000;"POLSKA";"2 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2021";18,4;"%";"";
0000000;"POLSKA";"2 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2022";18,2;"%";"";
0000000;"POLSKA";"2 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2023";16,5;"%";"";
0000000;"POLSKA";"2 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2024";16,4;"%";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"wartość liczbowa";"2015";55,5;"%";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"wartość liczbowa";"2016";55,7;"%";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"wartość liczbowa";"2017";56,3;"%";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"wartość liczbowa";"2018";56,5;"%";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"wartość liczbowa";"2019";56,8;"%";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"wartość liczbowa";"2020";56,6;"%";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"wartość liczbowa";"2021";58,6;"%";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"wartość liczbowa";"2022";58,3;"%";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"wartość liczbowa";"2023";58,5;"%";"";
0000000;"POLSKA";"3 kwartał";"ogółem";"wartość liczbowa";"2024";58,6;"%";"";
0000000;"POLSKA";"3 kwartał";"wyższe";"wartość liczbowa";"2015";81,0;"%";"";
0000000;"POLSKA";"3 kwartał";"wyższe";"wartość liczbowa";"2016";81,0;"%";"";
0000000;"POLSKA";"3 kwartał";"wyższe";"wartość liczbowa";"2017";80,2;"%";"";
0000000;"POLSKA";"3 kwartał";"wyższe";"wartość liczbowa";"2018";80,5;"%";"";
0000000;"POLSKA";"3 kwartał";"wyższe";"wartość liczbowa";"2019";81,3;"%";"";
0000000;"POLSKA";"3 kwartał";"wyższe";"wartość liczbowa";"2020";81,1;"%";"";
0000000;"POLSKA";"3 kwartał";"wyższe";"wartość liczbowa";"2021";81,6;"%";"";
0000000;"POLSKA";"3 kwartał";"wyższe";"wartość liczbowa";"2022";81,7;"%";"";
0000000;"POLSKA";"3 kwartał";"wyższe";"wartość liczbowa";"2023";81,9;"%";"";
0000000;"POLSKA";"3 kwartał";"wyższe";"wartość liczbowa";"2024";82,1;"%";"";
0000000;"POLSKA";"3 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2015";63,1;"%";"";
0000000;"POLSKA";"3 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2016";63,5;"%";"";
0000000;"POLSKA";"3 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2017";62,7;"%";"";
0000000;"POLSKA";"3 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2018";61,3;"%";"";
0000000;"POLSKA";"3 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2019";60,8;"%";"";
0000000;"POLSKA";"3 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2020";60,6;"%";"";
0000000;"POLSKA";"3 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2021";62,7;"%";"";
0000000;"POLSKA";"3 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2022";61,9;"%";"";
0000000;"POLSKA";"3 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2023";60,3;"%";"";
0000000;"POLSKA";"3 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2024";60,1;"%";"";
0000000;"POLSKA";"3 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2015";49,2;"%";"";
0000000;"POLSKA";"3 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2016";49,3;"%";"";
0000000;"POLSKA";"3 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2017";51,2;"%";"";
0000000;"POLSKA";"3 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2018";53,4;"%";"";
0000000;"POLSKA";"3 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2019";53,1;"%";"";
0000000;"POLSKA";"3 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2020";51,6;"%";"";
0000000;"POLSKA";"3 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2021";53,6;"%";"";
0000000;"POLSKA";"3 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2022";54,8;"%";"";
0000000;"POLSKA";"3 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2023";54,8;"%";"";
0000000;"POLSKA";"3 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2024";53,9;"%";"";
0000000;"POLSKA";"3 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2015";57,7;"%";"";
0000000;"POLSKA";"3 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2016";56,9;"%";"";
0000000;"POLSKA";"3 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2017";57,3;"%";"";
0000000;"POLSKA";"3 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2018";56,5;"%";"";
0000000;"POLSKA";"3 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2019";54,5;"%";"";
0000000;"POLSKA";"3 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2020";53,6;"%";"";
0000000;"POLSKA";"3 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2021";56,4;"%";"";
0000000;"POLSKA";"3 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2022";54,9;"%";"";
0000000;"POLSKA";"3 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2023";52,8;"%";"";
0000000;"POLSKA";"3 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2024";51,9;"%";"";
0000000;"POLSKA";"3 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2015";17,6;"%";"";
0000000;"POLSKA";"3 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2016";16,8;"%";"";
0000000;"POLSKA";"3 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2017";16,9;"%";"";
0000000;"POLSKA";"3 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2018";16,9;"%";"";
0000000;"POLSKA";"3 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2019";18,0;"%";"";
0000000;"POLSKA";"3 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2020";17,0;"%";"";
0000000;"POLSKA";"3 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2021";18,9;"%";"";
0000000;"POLSKA";"3 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2022";18,0;"%";"";
0000000;"POLSKA";"3 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2023";17,0;"%";"";
0000000;"POLSKA";"3 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2024";16,5;"%";"";
0000000;"POLSKA";"4 kwartał";"ogółem";"wartość liczbowa";"2015";55,8;"%";"";
0000000;"POLSKA";"4 kwartał";"ogółem";"wartość liczbowa";"2016";55,8;"%";"";
0000000;"POLSKA";"4 kwartał";"ogółem";"wartość liczbowa";"2017";55,8;"%";"";
0000000;"POLSKA";"4 kwartał";"ogółem";"wartość liczbowa";"2018";55,8;"%";"";
0000000;"POLSKA";"4 kwartał";"ogółem";"wartość liczbowa";"2019";56,1;"%";"";
0000000;"POLSKA";"4 kwartał";"ogółem";"wartość liczbowa";"2020";56,5;"%";"";
0000000;"POLSKA";"4 kwartał";"ogółem";"wartość liczbowa";"2021";58,4;"%";"";
0000000;"POLSKA";"4 kwartał";"ogółem";"wartość liczbowa";"2022";58,7;"%";"";
0000000;"POLSKA";"4 kwartał";"ogółem";"wartość liczbowa";"2023";58,9;"%";"";
0000000;"POLSKA";"4 kwartał";"ogółem";"wartość liczbowa";"2024";58,5;"%";"";
0000000;"POLSKA";"4 kwartał";"wyższe";"wartość liczbowa";"2015";81,2;"%";"";
0000000;"POLSKA";"4 kwartał";"wyższe";"wartość liczbowa";"2016";80,7;"%";"";
0000000;"POLSKA";"4 kwartał";"wyższe";"wartość liczbowa";"2017";80,8;"%";"";
0000000;"POLSKA";"4 kwartał";"wyższe";"wartość liczbowa";"2018";81,1;"%";"";
0000000;"POLSKA";"4 kwartał";"wyższe";"wartość liczbowa";"2019";81,0;"%";"";
0000000;"POLSKA";"4 kwartał";"wyższe";"wartość liczbowa";"2020";80,8;"%";"";
0000000;"POLSKA";"4 kwartał";"wyższe";"wartość liczbowa";"2021";81,9;"%";"";
0000000;"POLSKA";"4 kwartał";"wyższe";"wartość liczbowa";"2022";81,8;"%";"";
0000000;"POLSKA";"4 kwartał";"wyższe";"wartość liczbowa";"2023";81,6;"%";"";
0000000;"POLSKA";"4 kwartał";"wyższe";"wartość liczbowa";"2024";81,9;"%";"";
0000000;"POLSKA";"4 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2015";64,1;"%";"";
0000000;"POLSKA";"4 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2016";63,5;"%";"";
0000000;"POLSKA";"4 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2017";62,1;"%";"";
0000000;"POLSKA";"4 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2018";61,4;"%";"";
0000000;"POLSKA";"4 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2019";61,0;"%";"";
0000000;"POLSKA";"4 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2020";60,2;"%";"";
0000000;"POLSKA";"4 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2021";62,4;"%";"";
0000000;"POLSKA";"4 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2022";61,8;"%";"";
0000000;"POLSKA";"4 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2023";60,9;"%";"";
0000000;"POLSKA";"4 kwartał";"policealne oraz średnie zawodowe/branżowe";"wartość liczbowa";"2024";60,2;"%";"";
0000000;"POLSKA";"4 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2015";49,5;"%";"";
0000000;"POLSKA";"4 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2016";50,5;"%";"";
0000000;"POLSKA";"4 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2017";50,6;"%";"";
0000000;"POLSKA";"4 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2018";51,6;"%";"";
0000000;"POLSKA";"4 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2019";52,5;"%";"";
0000000;"POLSKA";"4 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2020";52,0;"%";"";
0000000;"POLSKA";"4 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2021";55,1;"%";"";
0000000;"POLSKA";"4 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2022";55,2;"%";"";
0000000;"POLSKA";"4 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2023";57,8;"%";"";
0000000;"POLSKA";"4 kwartał";"średnie ogólnokształcące";"wartość liczbowa";"2024";57,3;"%";"";
0000000;"POLSKA";"4 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2015";57,7;"%";"";
0000000;"POLSKA";"4 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2016";57,0;"%";"";
0000000;"POLSKA";"4 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2017";55,6;"%";"";
0000000;"POLSKA";"4 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2018";54,8;"%";"";
0000000;"POLSKA";"4 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2019";53,9;"%";"";
0000000;"POLSKA";"4 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2020";53,8;"%";"";
0000000;"POLSKA";"4 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2021";55,7;"%";"";
0000000;"POLSKA";"4 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2022";55,3;"%";"";
0000000;"POLSKA";"4 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2023";53,0;"%";"";
0000000;"POLSKA";"4 kwartał";"zasadnicze zawodowe/branżowe";"wartość liczbowa";"2024";50,8;"%";"";
0000000;"POLSKA";"4 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2015";17,1;"%";"";
0000000;"POLSKA";"4 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2016";16,1;"%";"";
0000000;"POLSKA";"4 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2017";16,1;"%";"";
0000000;"POLSKA";"4 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2018";15,9;"%";"";
0000000;"POLSKA";"4 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2019";16,3;"%";"";
0000000;"POLSKA";"4 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2020";16,7;"%";"";
0000000;"POLSKA";"4 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2021";18,2;"%";"";
0000000;"POLSKA";"4 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2022";17,3;"%";"";
0000000;"POLSKA";"4 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2023";16,2;"%";"";
0000000;"POLSKA";"4 kwartał";"gimnazjalne, podstawowe i niższe";"wartość liczbowa";"2024";15,1;"%";"";
1400000;"MAZOWIECKIE";"1 kwartał";"ogółem";"wartość liczbowa";"2015";60,5;"%";"";
1400000;"MAZOWIECKIE";"1 kwartał";"ogółem";"wartość liczbowa";"2016";58,7;"%";"";
1400000;"MAZOWIECKIE";"1 kwartał";"ogółem";"wartość liczbowa";"2017";59,6;"%";"";
1400000;"MAZOWIECKIE";"1 kwartał";"ogółem";"wartość liczbowa";"2018";60,5;"%";"";
