"Kod";"Nazwa";"Poziomy wykształcenia";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1400000;"MAZOWIECKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2018";27,0;"%";"";
1400000;"MAZOWIECKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2019";26,4;"%";"";
1400000;"MAZOWIECKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2020";25,9;"%";"";
1400000;"MAZOWIECKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2021";27,1;"%";"";
1400000;"MAZOWIECKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2022";26,6;"%";"";
1400000;"MAZOWIECKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2023";26,6;"%";"";
1400000;"MAZOWIECKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2024";26,4;"%";"";
3000000;"WIELKOPOLSKIE";"wyższe";"2015";12,2;"%";"";
3000000;"WIELKOPOLSKIE";"wyższe";"2016";13,0;"%";"";
3000000;"WIELKOPOLSKIE";"wyższe";"2017";13,6;"%";"";
3000000;"WIELKOPOLSKIE";"wyższe";"2018";13,9;"%";"";
3000000;"WIELKOPOLSKIE";"wyższe";"2019";14,3;"%";"";
3000000;"WIELKOPOLSKIE";"wyższe";"2020";14,5;"%";"";
3000000;"WIELKOPOLSKIE";"wyższe";"2021";14,2;"%";"";
3000000;"WIELKOPOLSKIE";"wyższe";"2022";13,6;"%";"";
3000000;"WIELKOPOLSKIE";"wyższe";"2023";13,8;"%";"";
3000000;"WIELKOPOLSKIE";"wyższe";"2024";13,9;"%";"";
3000000;"WIELKOPOLSKIE";"policealne oraz średnie zawodowe";"2015";22,0;"%";"";
3000000;"WIELKOPOLSKIE";"policealne oraz średnie zawodowe";"2016";21,5;"%";"";
3000000;"WIELKOPOLSKIE";"policealne oraz średnie zawodowe";"2017";21,3;"%";"";
3000000;"WIELKOPOLSKIE";"policealne oraz średnie zawodowe";"2018";21,8;"%";"";
3000000;"WIELKOPOLSKIE";"policealne oraz średnie zawodowe";"2019";21,8;"%";"";
3000000;"WIELKOPOLSKIE";"policealne oraz średnie zawodowe";"2020";22,0;"%";"";
3000000;"WIELKOPOLSKIE";"policealne oraz średnie zawodowe";"2021";22,0;"%";"";
3000000;"WIELKOPOLSKIE";"policealne oraz średnie zawodowe";"2022";22,0;"%";"";
3000000;"WIELKOPOLSKIE";"policealne oraz średnie zawodowe";"2023";22,0;"%";"";
3000000;"WIELKOPOLSKIE";"policealne oraz średnie zawodowe";"2024";22,3;"%";"";
3000000;"WIELKOPOLSKIE";"średnie ogólnokształcące";"2015";9,5;"%";"";
3000000;"WIELKOPOLSKIE";"średnie ogólnokształcące";"2016";9,3;"%";"";
3000000;"WIELKOPOLSKIE";"średnie ogólnokształcące";"2017";9,5;"%";"";
3000000;"WIELKOPOLSKIE";"średnie ogólnokształcące";"2018";10,0;"%";"";
3000000;"WIELKOPOLSKIE";"średnie ogólnokształcące";"2019";10,2;"%";"";
3000000;"WIELKOPOLSKIE";"średnie ogólnokształcące";"2020";11,2;"%";"";
3000000;"WIELKOPOLSKIE";"średnie ogólnokształcące";"2021";11,2;"%";"";
3000000;"WIELKOPOLSKIE";"średnie ogólnokształcące";"2022";10,9;"%";"";
3000000;"WIELKOPOLSKIE";"średnie ogólnokształcące";"2023";11,3;"%";"";
3000000;"WIELKOPOLSKIE";"średnie ogólnokształcące";"2024";11,6;"%";"";
3000000;"WIELKOPOLSKIE";"zasadnicze zawodowe/branżowe";"2015";30,0;"%";"";
3000000;"WIELKOPOLSKIE";"zasadnicze zawodowe/branżowe";"2016";29,6;"%";"";
3000000;"WIELKOPOLSKIE";"zasadnicze zawodowe/branżowe";"2017";29,0;"%";"";
3000000;"WIELKOPOLSKIE";"zasadnicze zawodowe/branżowe";"2018";29,0;"%";"";
3000000;"WIELKOPOLSKIE";"zasadnicze zawodowe/branżowe";"2019";28,7;"%";"";
3000000;"WIELKOPOLSKIE";"zasadnicze zawodowe/branżowe";"2020";28,0;"%";"";
3000000;"WIELKOPOLSKIE";"zasadnicze zawodowe/branżowe";"2021";27,3;"%";"";
3000000;"WIELKOPOLSKIE";"zasadnicze zawodowe/branżowe";"2022";29,4;"%";"";
3000000;"WIELKOPOLSKIE";"zasadnicze zawodowe/branżowe";"2023";29,6;"%";"";
3000000;"WIELKOPOLSKIE";"zasadnicze zawodowe/branżowe";"2024";28,9;"%";"";
3000000;"WIELKOPOLSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2015";26,4;"%";"";
3000000;"WIELKOPOLSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2016";26,7;"%";"";
3000000;"WIELKOPOLSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2017";26,6;"%";"";
3000000;"WIELKOPOLSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2018";25,2;"%";"";
3000000;"WIELKOPOLSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2019";24,9;"%";"";
3000000;"WIELKOPOLSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2020";24,3;"%";"";
3000000;"WIELKOPOLSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2021";25,3;"%";"";
3000000;"WIELKOPOLSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2022";24,2;"%";"";
3000000;"WIELKOPOLSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2023";23,4;"%";"";
3000000;"WIELKOPOLSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2024";23,3;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"wyższe";"2015";10,5;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"wyższe";"2016";10,8;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"wyższe";"2017";11,0;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"wyższe";"2018";11,1;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"wyższe";"2019";11,3;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"wyższe";"2020";11,5;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"wyższe";"2021";11,5;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"wyższe";"2022";11,7;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"wyższe";"2023";11,8;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"wyższe";"2024";12,0;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"policealne oraz średnie zawodowe";"2015";18,4;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"policealne oraz średnie zawodowe";"2016";18,2;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"policealne oraz średnie zawodowe";"2017";18,4;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"policealne oraz średnie zawodowe";"2018";18,5;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"policealne oraz średnie zawodowe";"2019";18,7;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"policealne oraz średnie zawodowe";"2020";18,3;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"policealne oraz średnie zawodowe";"2021";18,2;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"policealne oraz średnie zawodowe";"2022";18,5;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"policealne oraz średnie zawodowe";"2023";18,5;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"policealne oraz średnie zawodowe";"2024";18,7;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"średnie ogólnokształcące";"2015";10,9;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"średnie ogólnokształcące";"2016";11,3;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"średnie ogólnokształcące";"2017";11,4;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"średnie ogólnokształcące";"2018";12,0;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"średnie ogólnokształcące";"2019";12,1;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"średnie ogólnokształcące";"2020";13,0;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"średnie ogólnokształcące";"2021";12,7;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"średnie ogólnokształcące";"2022";12,9;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"średnie ogólnokształcące";"2023";13,2;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"średnie ogólnokształcące";"2024";13,6;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"zasadnicze zawodowe/branżowe";"2015";26,7;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"zasadnicze zawodowe/branżowe";"2016";26,2;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"zasadnicze zawodowe/branżowe";"2017";25,8;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"zasadnicze zawodowe/branżowe";"2018";25,5;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"zasadnicze zawodowe/branżowe";"2019";25,0;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"zasadnicze zawodowe/branżowe";"2020";24,4;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"zasadnicze zawodowe/branżowe";"2021";24,4;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"zasadnicze zawodowe/branżowe";"2022";24,5;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"zasadnicze zawodowe/branżowe";"2023";24,5;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"zasadnicze zawodowe/branżowe";"2024";24,5;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2015";33,5;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2016";33,4;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2017";33,5;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2018";32,9;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2019";32,9;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2020";32,8;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2021";33,1;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2022";32,3;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2023";32,0;"%";"";
3200000;"ZACHODNIOPOMORSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2024";31,3;"%";"";
